date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:40	20345/20345	---M-Z	200	added ('OK')	text/html	etag:%224f79-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/index--header-slider-classic.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index--header-slider-classic.html	(from http://markup.themewagon.com/tryfreya/)
22:24:41	17891/17891	---M-Z	200	added ('OK')	text/html	etag:%2245e3-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/index--header-static.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index--header-static.html	(from http://markup.themewagon.com/tryfreya/)
22:24:42	17894/17894	---M-Z	200	added ('OK')	text/html	etag:%2245e6-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/index--header-static-classic.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index--header-static-classic.html	(from http://markup.themewagon.com/tryfreya/)
22:24:43	18211/18211	---M-Z	200	added ('OK')	text/html	etag:%224723-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/index--header-youtube-video.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index--header-youtube-video.html	(from http://markup.themewagon.com/tryfreya/)
22:24:44	18214/18214	---M-Z	200	added ('OK')	text/html	etag:%224726-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/index--header-youtube-video-classic.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index--header-youtube-video-classic.html	(from http://markup.themewagon.com/tryfreya/)
22:24:45	18069/18069	---M-Z	200	added ('OK')	text/html	etag:%224695-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/index--header-selfhosted-video.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index--header-selfhosted-video.html	(from http://markup.themewagon.com/tryfreya/)
22:24:46	18072/18072	---M-Z	200	added ('OK')	text/html	etag:%224698-5613bcb2712b2-gzip%22	http://markup.themewagon.com/tryfreya/index--header-selfhosted-video-classic.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/index--header-selfhosted-video-classic.html	(from http://markup.themewagon.com/tryfreya/)
22:24:47	17072/17072	---M-Z	200	added ('OK')	text/html	etag:%2242b0-5613bcb270312-gzip%22	http://markup.themewagon.com/tryfreya/about.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/about.html	(from http://markup.themewagon.com/tryfreya/)
22:24:48	11976/11976	---M-Z	200	added ('OK')	text/html	etag:%222ec8-5613bcb272252-gzip%22	http://markup.themewagon.com/tryfreya/recognition.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/recognition.html	(from http://markup.themewagon.com/tryfreya/)
22:24:49	8682/8682	---M-Z	200	added ('OK')	text/html	etag:%2221ea-5613bcb270312-gzip%22	http://markup.themewagon.com/tryfreya/blank.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/blank.html	(from http://markup.themewagon.com/tryfreya/)
22:24:50	4465/4465	---M-Z	200	added ('OK')	text/html	etag:%221171-5613bcb270312-gzip%22	http://markup.themewagon.com/tryfreya/404.html	/home/dhialinux/websites/culture/markup.themewagon.com/tryfreya/404.html	(from http://markup.themewagon.com/tryfreya/)
